Topic Id,Top Words...,,,,,,,,,,,,,,,,,,
0,2006,819,pontiac,2007,Canada Day,4,Ottawa,Team,www,Bay,Year,Mclean,School,Time,Quevec,People,Lake,Willbur,Place
1,day,june,04-Jul,2004,2,2005,1,Ottawa,Birthday,Bay,3,Great,Week,Family,5,6,Time,Anniversary,7
2,01-Apr,2003,4,2,2002,0,3,5,0,613,shawville,pontiac,day,ottawa,call,6,quebec,819,years
3,march,lot,la,taxes,de,en,part,par,range,north,feet,mar,le,rang,east,hundred,south,distance,west
4,fair,1,4,shawville,wedding,show,pm,horse,0,3,septemeber,9,page,day,2,5,special,champion,years
5,4,2000,2001,0,2,3,pm,shawville,9,7,1,5,ottawa,bay,day,bristol,moved,Sunday,647
6,sept,oct,de,october,4,2,la,1,0,september,6,le,5,3,10,seat,novemeber,municpality,par 00
7,de,la,le,les,du,en,1,qu,au,pour,pontiac,une,bec,4,dans,2,est,pr,qui
8,2,4,3,1,0,christmas,5,6,dec,8,7,pontiacs,nov,feb,january,game,jan,09-Dec,february
9,1,shawville,pontiact,647,year,equity,819,30,0,9,time,home,st,years,8,quebec,10,good Friday,service
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
